,No.,As,I want to ,So that,User Story,Acceptance Criteria,Capability,Sub-Capability,Epic,Unnamed: 9
0,,,,,Transportation Rep like be change status Responded allowance code is submit approval is transportation related complaint ,"Update validation rule (which already allows transportation to respond to a code 21), to include code 88 in the logic. Additionally, there are Canadian specific codes that need to be added to this list.
  Additionally, give plant reps the ability to update allowance code fields
 
  Update Allowance code 88 and 89 to say ""<$300"" rather than ""<$200""
  
  Additionally, Plant Reps will not be able to respond to complaints that are code 21 or 88. Build validation rule that prevents plant reps from doing so.",Plan and manage customer service operations,Manage customer complaints,Manage shipment,Complete shipment processing
1,,,,,like see shipping quantity UOM adding products product button visibility ,,Plan and manage customer service operations,Manage customer complaints,Manage shipment,Inspect shipment related information
2,,,,,like see Invoice record is invoice credit memo debit memo do create complaint credit memo debit memo ,Add visible column on search view for transaction type,Plan and manage customer service operations,Manage customer complaints,Manage invoice,Inspect invoice
3,,,,,RQM like access approval button complaint is ,"Move Approve/Reject buttons to case action section when a complaint has been submitted for approval and is over $3,000",Plan and manage customer service operations,Manage customer complaints,Approve complaint,Approve complaint under certain criteria
4,,,,,like see case number case link escalation email have complaint has been touched hours ,"Please add a filter to include only Complaint Record Types***
  The message should read:
  A complaint assigned to you has been inactive for 2 days. Please take the appropriate actions to resolve this complaint
  
  Case Number: 
  Case Link:",Plan and manage customer service operations,Manage customer service workforce,Manage performance,Notify on idle complaint
5,,,,,like be close cancel complaint entered error having validation rules do have add details do have closing complaint ,"Current picklist values for ""Closed Cancelled Reason"" are:
  Closed for $0 Product Within Specification
  Closed for $0 Informational Complaint
  Complaint Created in Error
  The Closed Cancelled status has a validation rule that the user must enter in product and nature codes, and have at least 1 product assigned to the complaint. 
  When a user closes the complaint with the reason ""Complaint Created in Error"", they should be able to do so at any time with no required fields to be entered. Also, any user profile can perform this action if they are the case owner",Plan and manage customer service operations,Manage customer complaints,Close complaint,Close complaint with errors
6,,,,,like plant dashboard display information related shipping plant do need go report filter plant ,,Plan and manage customer service operations,Manage customer complaints,Manage shipment,Inspect shipment related information
7,,,,,Add fields invoice integration layout including Shipment ID Oracle Order Number Order Control ,,Plan and manage customer service operations,Manage customer complaints,Manage invoice,Enrich invoice detail
8,,,,,like Sales Representative field case be populated complaint account owner account Account Name field account owner contact ,,Plan and manage customer service operations,Manage customer complaints,Sales support,
9,,,,,like see dropdown queues plant CSR transportation queues changing owner complaint find queue remember name ,,Plan and manage customer service operations,Manage customer service workforce,Manage performance,
10,,,,,plant rep select material complaint have send approval is ,,Plan and manage customer service operations,Manage customer complaints,Complaint process control,
11,,,,,transportation rep allowance code complaint is like be change status responded submit complaint approval sending plant ,"Currently users with Transportation profile cannot change the status to ""Responded"" and must send it back to the plant to respond and submit for approval.
  
  
  
  Validation rule restricting the Transportation team from changing the status to responded would have to be lifted, and potentially a second validation would need to be added to ensure that the allowance code value is 21.",Plan and manage customer service operations,Manage customer complaints,Manage shipment,
14,,,,,like track amount time complaint spends transportation CSR queue does impact plant DTR DTC ,,Plan and manage customer service operations,Manage customer service workforce,Manage performance,
15,,,,,like view product case based product selected complaint ,Products will be in Salesforce as part of R7,Plan and manage customer service operations,Manage customer complaints,Technical support,
16,,,,,Sales Rep like receive notification complaint has been closed cancelled contact customer ,"When the status of the complaint changes to ""Closed Cancelled"", send a chatter notification to the user in the 'Sales Representative' field on the case record. The message will say.
  
  A complaint for one of your accounts has been Closed Cancelled.
  
  Case Number:
  
  Account Name:
  
  Contact Name:
  
  Closed Cancelled Reason:
  
  Case Link:",Measure and evaluate customer satisfaction,Measure customer satisfaction level,Customer feedback,
17,,,,,like owner complaint update Sales Representative complaint complaint is closed ,"Workflow Rule:
  
  
  
  When the complaint status = Closed or Closed Cancelled, the Case Owner field will update to the user in the Sales Representative field",Plan and manage customer service operations,Manage customer complaints,Sales support,
18,,,,,like be calculate amount complaint credit team issue credit ,"The calculation for the Complaint Total field is as follows
  
  
  
  Sum of (Material Cost, Labor Cost and Other Cost)
  
  
  
  The calculation will no longer include the addition of the field ""Inbound Freight Cost""",Plan and manage customer service operations,Manage customer complaints,Manage customer credit,Issue credit
19,,,,,user selects allowance code user has ensure is value Material field product accounting document credit ,"Validation Rule:
  If there is an allowance code of ""04 RMR Good Material"", there must be a value greater than 0 in the field ""Good Material"" on the Affected Product before the user can change the status from ""Response Reviewed"" to ""Responded"".
  
  The error message will read ""Please enter a value for 'Good Material' using the Affected Product case action button""",Plan and manage customer service operations,Manage customer complaints,Manage customer credit,Validate credit
20,,,,,like ensure advance status Published complaint response ,"Solution:
  
  
  
  Validation rule: In order to move the status from Entered to Entered and Sent, the user must have a customer statement and investigator statement complaint response BOTH with the status of ""Published"". If either or both are in status of ""Draft"", the system will not allow the user to progress.
  
  
  
  Validation Rule: In order to move from Response Reviewed to Responded, the user must have a Plant Answer complaint response with the status of ""Published"". If in ""Draft"" status, the system will not allow the user to progress.
  
  
  
  Transportation Statement and Customer Service statement will not have ""Draft"" option. All statements will be ""Published"". If the Transportation or Customer Service user would like to change their response, they will need to add an additional complaint response.
  
  
  
  Additionally, when a response is saved in the ""Draft"" status, it will continue to be editable by that owner. Once the response is ""Published"", it will be locked for editing.
  
  
  
  System Admin will NOT be able to edit ""Published"" responses
  
  
  
  No user can delete a response once ""Published""",Plan and manage customer service operations,Manage customer complaints,Complaint process control,
21,,,,,like support email case functionality expedite creation cases ,Likely R6 or R7 functionality,Plan and manage customer service operations,Manage customer complaints,Create complaint,
22,,,,,like plant reps be prevented moving status Responded code complaint CSR Transportation Issue do have CSR Transportation Response added ,"Solution
  
  Validation rules:
  
  If Allowance Code = 81 and there is no CSR response on the complaint response related list, the user cannot move the status to Responded
  
  If Allowance Code = 71 or 72 and there is no Transportation response on the complaint response related list, the user cannot move the status to Responded",Plan and manage customer service operations,Manage customer complaints,Complaint process control,
24,,,,,like be take complaint Off Hold return status continue working complaint ,"Solution:
 
  Once a complaint has been put ""On Hold"" by the RQM, the owner of the complaint will be able to take the complaint ""Off Hold"" by manually selecting the status prior to the complaint being put on hold. 
 
  The system will track the prior status to On Hold, and a validation rule will be built to ensure that the user can ONLY send the complaint back to that prior status (Example: if the status is Response Reviewed, and then the RQM changes the status to On Hold, the owner can only change the status back to Response Reviewed once he/she is ready to take the complaint off hold)",Plan and manage customer service operations,Manage customer complaints,Complaint process control,
25,,,,,like be link Project Record Salesforce pull job information complaint ,"Solution:
 Remove the current field ""XXXX Opportunity Name"", and replace with a field called ""XXXX Project Name"" which will be a lookup to the Project object.
 
  Update the job fields in the Project Details section to pull the relevant information from the Project Record, including;
  
  Project Name
  Project State/Prov
  Project City
  Project Street Address
  Project Postal Code
 
  These Project fields above can be manually entered into, but will be overridden with data if a Job Lead Record is linked
  Additionally, if a Project record is linked, and then later deleted, the Project Fields will also be delete",Plan and manage customer service operations,Manage customer complaints,Enrich reference data,
26,,,,,user need ability see credit associated Complaint case view details credit ,"Add a field called ""Credit Memo #"" on Invoice header",Plan and manage customer service operations,Manage customer complaints,Manage customer credit,Validate credit
27,,,,,like be close cancel complaint record close complaint having enter information ,"I will know this is complete when the Plant Rep and RQM has the ability to close a complaint for $0. A Sales Rep, CSR, Transportation Rep or CSA rep will not be able to close a complaint for $0 
  The user can select the ""Closed Cancelled"" and view the Key Fields Section below (which only shows the field ""Closed Cancelled Reason"". The user can enter in the ""Closed Cancelled Reason"" which has picklist values of;
  ""Closed For $0 - Product Within Specification""
  ""Closed For $0 - Informational Complaint""
  ""Complaint Opened in Error""
  Before saving the Closed Cancelled status, the user must enter the following information
  Product Group
  
  Product Code
  
  Business Unit
  
  Nature Code Category
  
  Nature Code Sub-Category
  
  Plant Answer (In complaint response related list)
  
  Closed Cancelled Reason
  
  
  
  The Complaint Value DOES NOT have to be $0 before closing.
  
  
  
  Complaint should lock after being Closed/Cancelled
  
  
  
  ""Closed Cancelled"" and ""On Hold"" statuses should not be visible on the page layout once the status is ""Approved""
  
  
  
  RQMs will NOT have access to delete complaints",Plan and manage customer service operations,Manage customer complaints,Close complaint,
29,,,,,like be document cost freight returned material impact complaint total ,"I will know this is complete when I can add an amount for inbound freight related to an RMR, and this amount is added to the complaint total.
 
  Solution:
  
  If an amount is added to the ""Inbound Freight Amount"" field, that amount is added to the ""Complaint Total"" field
  
  The ""Inbound Freight Amount"" field cannot be negative",Plan and manage customer service operations,Manage customer complaints,Financial control,Track restocking fee
30,,,,,like user be progress statuses be go statuses permitted business rules user change status resolve complaint ,"Solution: 
  A User must progress through each status before closing a complaint. Thus a user cannot skip a status (excluding ""On Hold"").
  A User is not able to send a complaint back to a previous status.
  A User cannot create a complaint with a status other than ""Entered""
  CSR, Sales and Transportation cannot update the status to ""Responded""",Plan and manage customer service operations,Manage customer complaints,Complaint process control,
31,,,,,like be apply restocking fee returned material update complaint total account fee ,"I will know this is complete when the user has the ability to apply a restocking fee to returned material, and have that amount reflect against the complaint total.
 
  Solution: Create Case field ""Restocking Fee"" (percentage) and place in the Return Material Section.
 
  If a restocking fee percentage is added, remove this percentage from the Material Cost field. (i.e. if Material Cost = $100 and a Restocking Fee of 20% is added, then the Material Cost would update to $80). If the Material Cost is changed using the affected products button after a restocking fee was added, the new material cost should still reflect that restocking fee (i.e after the Material Cost updated to $80, the user changed the quantity affected, resulting in a new material cost of $200, the restocking fee of 20% should still apply and result in a material cost of $160)
 
  Restocking fee can have decimals (i.e. 12.25%)",Plan and manage customer service operations,Manage customer complaints,Financial control,Charge restocking fee
32,,,,,like be route complaint CSR team track CSR issues have team sign reason complaint ,"I will know this is complete when I can assign a complaint to a CSR team queue and the members of that queue
  
  
  
  Solution: Create all CSR team queues and create their respective groups. When a complaint is assigned to a CSR team queue, the members of that queue will receive an email notification stating, ""A complaint has been assigned to your team, please respond accordingly""
  
  
  
  The queues and groups to be created include:
  
  
  
  Commercial Gypsum Team/International
  
  Commercial Ceilings Team
  
  Performance Materials
  
  National Accounts & Retail Ceilings Team
  
  
  
  Please delete the ""CSR Team Leader"" (the above queues will replace the queue created as a part of sprint 1).",Plan and manage customer service operations,Manage customer complaints,Complaint process control,
36,,,,,user like be close complaint lock information track days closure ,"I will know this is complete when I can change the status of a complaint to closed after all necessary information is completed.
 
  All fields in the ""Credit Information"" section have to be entered before moving the status to Closed. Once all this data is entered, the CSA rep will manually change the status to Closed. There will be a validation rule to make sure all credit information has been entered.",Plan and manage customer service operations,Manage customer complaints,Manage customer credit,Validate credit
37,,,,,like be handle complaints device ,"I will know this is complete when I can perform all complaints functionality on a mobile device. Print Complaint and Supplemental Complaint functionality will not be available via mobile device.
 
  Affected Products Mobile Solution:
  
  New tab in activity section will be created for mobile use. When the user selects this the Affected Product (Mobile) action they will be taken to a list of the invoice items on the invoice linked to the complaint. The user is able to select one item at a time and populate the same fields they would see if they were using the Affected Products button on the desktop. Those fields include:
  Selected
  Item #
  Product Descriptio
  Unit Price
  Quantity Ordered
  UOM
  Quantity Affected
  Mfg Code
  Quantity to Return
  Good Material
  Bad Material Refurbishable Material
  
  After entering in the above information, the user will be able to save this record (upon saving the affected product is created). The user will then have the ability to select a different item on the invoice to add as an affected product, or exit and go back to the case",Plan and manage customer service operations,Manage customer complaints,Mobility,Enable mobile access
38,,,,,XXXX User want Plant RQM lookup fields be autopopulated invoice is attached Complaint roles responsibility be determined ,"I will know this is done when the Plant and RQM fields are populated with the respective information from the Invoice record
 
  When an invoice is attached to a complaint (Case), the associated invoice should have an assigned plant (lookup field on invoice, XXXX10_Plant__c) that should be autopopulated after association. Additionally, the Plant record should have a lookup to the Regional Quality Manager (User, XXXX10_RQM__c) that should cascade to the Complaint record.",Plan and manage customer service operations,Manage customer complaints,Manage invoice,
39,,,,,like system ensure value Complaint Total field matches total Allowance Code Value fields make value credit matches calculation ,"I will know this is done when the Allowance Code Sum cannot exceed the Complaint Total amount
 
  Solution: 
  
  1. On the Case object, create ""Allowance Code Value Sum"" formula field that is hidden (off the page layout). The field is a sum of fields ""Allowance Code Value 1"", ""Allowance Code Value 2"", ""Allowance Code Value 3"", and ""Allowance Code Value 4"". 
  2. Create a validation rule which prevents the user from changing the complaint to ""Responded"" if the ""Complaint Total"" field is not equal to the ""Allowance Code Value Sum"" field. This is for Complaint record type only. 
  Error Message will read: ""Please ensure that the Allowance Code Value Sum is equal to the Complaint Total""
  Additional Requirement: Allowance Code Values cannot be negative, nor can ""Labor Cost"" or ""Other Cost""",Plan and manage customer service operations,Manage customer complaints,Manage customer credit,Validate credit
40,,,,,Plant Rep RQM like be capture product code items complaint report products are having issues ,"I will know this is done when the user can select a picklist value for Product Code.
 
  Solution: Create fields ""Product Group"" and ""Product Code"" (in plant details section) and make them picklists. Picklist values and dependencies can be found in the attachment
  
  These fields will be added to the validation rule (along with allowance codes and nature codes) that requires entry before moving from status ""Response Reviewed"" to ""Responded""
  
  Additionally, these fields should lock when the status = ""Approved,"" or ""Closed"" (System Admin and RQM should be able to edit throughout the process - no locking)",Plan and manage customer service operations,Manage customer complaints,Technical support,
41,,,,,like information populate based status updates have status changes occur based information entered system ,"I will know this is complete when the appropriate workflows are created
 
  Workflow rules:
  When the user changes the status to ""Entered and Sent"", the Case Owner field will populate with the Plant queue associated to the Shipping Plant field on the Case. The plant object and queue will be linked by the ""owner"" field.
 
  When the plant user changes the status from ""Entered and Sent"" to ""Response Reviewed"", the Case Owner field should populate with that user.",Plan and manage customer service operations,Manage customer complaints,Manage shipment,
42,,,,,user like be notified regarding status credits stay informed complaint be closed ,"I'll know this is complete when the following notifications are created
 
  Solution:
 
  The sales rep on the complaint should receive a chatter notification when the credit has been issued and the complaint has been closed. This will trigger upon Status = Closed.
 
  The following information will be shown in the chatter notification;
 
  ""A complaint for one of your accounts has been closed""
 
  Case Number (link)
  
  Account
  
  Contact
  
  Credited Amount",Plan and manage customer service operations,Manage customer complaints,Manage customer credit,Validate credit
44,,,,,user like be route complaint approval obtain sign complaint send credit team needed ,"I will know this is complete when the user is able to send a complaint to the appropriate party and gain stamp of approval so that the complaint can be sent for credit issuance
  
  Solution: Use standard ""Submit For Approval"" button on case object.

  Plant Rep: Once the plant rep has moved the complaint to ""Responded"" status, they can then select the standard ""Submit For Approval Button"". If the Complaint Total field on the case is less than $3,000, the plant rep will enter comments in the ""Comments"" field (optional). The complaint status will automatically update from ""Responded"" to ""Approved"" upon selecting submit.
 
  If the plant rep selects submit and the Complaint Total field is greater than $3,000, an email notification will be sent to the RQM on the complaint reading ""A complaint has been sent to you for approval. Please take immediate action to review this complaint"" (Show fields ""Case Number"", ""Account Name"", ""Complaint Total"", ""Subject""). The RQM will go to the approval section on the complaint and will be able to select ""Approve"" or ""Reject"" buttons and enter text in the ""Comments"" field (optional). If the complaint is approved by the RQM, the status will automatically update to ""Approved"". 

  If the complaint is rejected, the complaint will unlock and the plant user will remain the case owner. The case owner will receive a notification stating ""The following complaint {Complaint Number} has been rejected"" (Show fields ""Case Number"", ""Account Name"", ""Complaint Total"", ""Subject"" --- Rejected By: (RQM), Rejection Reason: (Approval Comments)). The status will change from ""Responded"" to ""Response Reviewed"".

  Any offline email approvals from other parties involved (as necessary according to the XXXX bulletin) will be attached in the attachments section of the complaint, but will not be validated in Salesforce.

  The complaint will be locked upon submitting for approval on the complaint

  The complaint must be in the status ""Responded"" before it can be submitted for approval. Error message if user tries to send for approval and the complaint is not in Responded status will read, ""The complaint status must equal ""Responded"" before submitting for approval""
  
  
  
  A CSR, Sales Rep and Transportation Rep should not be allowed to submit for approval",Plan and manage customer service operations,Manage customer complaints,Manage customer credit,Validate credit
45,,,,,Complaint Reporting Plant Current DE EXCEL Report Days Close Days Resolution Report be Complaint Track Go Live reporting is tied Manufacturing incentive plans needs replication Complaint Handling Track ,"Replication of quality reports reports.
  Solution: Leverage standard Salesforce reports and group various reports within a specific Complaints Reports folders. 
  DTR/DTC Report will be as follows:
  
  Grouping/Filter: Shipping Plant
  
  Columns: Complaint Number, Count, DTR, DTC, Time on Hold
  
  Total by: DTR average, DTC average, Time on Hold average
  DE102: To be owned by XXXX
  Plant Quality Ratings Report will be as follows: To be owned by XXXX",Plan and manage customer service operations,Manage customer complaints,Manage shipment,
46,,,,,CSR Sales Rep Plant Rep RQM Transportation Rep like be Create contact account receiving complaint Document contacted regarding complaint reach information needed ,"I will know this is done when I am able to create a contact from the Case page Layout (Contact Field quick create)
  
  Solution: 
  
  Utilize quick create function to provide contact creation function. Additionally, the existing contact record type/page layout will be leveraged as a part of this sprint. 

  Note, all users will have the ability to create Contacts in the system (will not limit the creation process).",Plan and manage customer service operations,Manage customer complaints,Manage account,
47,,,,,Customer like be receive notification complaint is created know issue is being worked ,"I will know this is done when an email is sent to the customer after the complaint is created

  Solution: Upon creation of a complaint, the system should email the contact associated with the complaint (HTML Template, ""XXXX Logo Letterhead""). The email will read ""Dear {Customer Name}, A complaint has been entered for your account. If necessary, please consult with your XXXX Sales Representative for further information about this complaint"" 

  Complaint Reference Number: 
  
  Date Entered: 
  
  Complaint Reason:",Plan and manage customer service operations,Manage customer complaints,Create complaint,
48,,,,,CSR Sales Rep Plant Rep RQM Transportation Rep like be View customer service SLAs Resolve complaint based customer agreements expectations ,Business Rule:Validation Rule:Data Fields:Automation:Security/Permission:,Plan and manage customer service operations,Manage customer complaints,Manage entitlement,
49,,,,,Sales Rep like be Link opportunity complaint calling architect know is complaint associated job are working ,"I will know this is done when I am able to link a Complaint (Case) to an Opportunity record. 
 
  Solution: A custom field will be used to link a Case to an Opportunity. Add the following text fields, Job Name, Job Site Street Address, Job Site State/Prov, Job Site City, Job Site Postal Code, Job Site Contact. See below for mapping of new fields to the opportunity object.
  
  Job Name -> Opportunity Name
  
  Job Site Street Address -> Street Address
  
  Job Site State/Prov -> State/Province
  
  Job Site City -> City
  
  Job Site Postal Code -> Zip/Postal Code
 
  Validation Rule: If opportunity is selected, job fields above should be populated. If the opportunity is not linked, the user will have the ability to manually enter the job related fields above. If a user manually enters information in these job fields but later links an opportunity, the data will overwrite the manually entered data with the data on the opportunity
  
  
  
  Security/Permission: All users will be able to link a Complaint (Case) to an Opportunity",Plan and manage customer service operations,Manage customer complaints,Generate opportunity,
50,,,,,CSR Sales Rep Plant Rep RQM Transportation Rep like be be notified complaint has been assigned amount time action continue investigate update status change owner ,"I will know this is complete when the owner of the complaint receives a notification after there has been no activity on their complaint for 48 hours.
  
  
  
  Solution: Create an escalation rule after no activity on a complaint that sends an email to the user in the Owner field stating, ""A complaint assigned to you has been inactive for 2 days. Please take the appropriate actions to resolve this complaint"". 
  
  
  
  Utilizing the last modified date, a notification would be sent to the Case owner if 48 hours have passed with no activity 
  
  Omit: On Hold, Approved, and Closed statuses",Plan and manage customer service operations,Manage customer service workforce,Manage performance,
51,,,,,like be notified based milestone complaint investigate needed resolution be informed case have interaction customer ,"I will know this is complete when a notification is sent to the corresponding user based on a certain set of criteria
 Solution: 
  
  1. When a complaint is assigned to a queue (Case Owner field changed to Plant (one of the many), CSR or Transportation queue), that queue will receive a chatter notification stating, ""A complaint has been assigned to [Queue Name], please respond accordingly. 
 
  Additional Case information can be found below:
  
  -Case Number:
  
  -Account Name:
  
  -Contact:
  
  -Case Reason:
 
  2. When a complaint is created, send a chatter notification to the ""Sales Representative"" stating, ""A complaint has been created for [Account Name]. Please review the case at your convenience.
 
  Additional Case information can be found below:
  
  -Case Number:
  
  -Account Name:
  
  -Contact:
  
  -Case Reason:""
  
  
  
  3. When a complaint's status is changed to closed, send a Chatter notification to the ""Sales Representative"" stating, ""A complaint has been closed for [Account Name].
  
  
  
  Additional Case information can be found below:
  
  -Case Number:
  
  -Account Name:
  
  -Contact:
  
  -Case Reason:
  
  """,Plan and manage customer service operations,Manage customer complaints,Complaint process control,
52,,,,,CSR Sales Rep Plant Rep RQM Transportation Rep like be create complaint invoice invoice related details autopopulate ,"I will know this is complete when I am able to create a new complaint directly from an invoice, and the invoice related details auto populate on the complaint.
 
  Solution:
  
  Add Case as a related object to Invoice, and add ""New"" button on the related object
 
  Upon clicking ""New"" and selecting the complaint record type, the fields ""Invoice #"", ""Shipping Plant"", ""RQM"" should be populated on the complaint creation page. Once saved and moved to ""Entered"" status, and upon clicking the Affected Products button, the user should see the list of line items to select from",Plan and manage customer service operations,Manage customer complaints,Create complaint,
53,,,,,user like be send complaints XXX team issue credit customer ,"I will know this is complete when appropriate XXX users receive an email to a daily report with approved complaints that are ready for credit memos
 
  Solution: Create a report with the following information:
  
  Filter: Status = Approved
  
  Columns: Complaint Number, Account, Contact, Invoice Number, Complaint Value, Allowance Code 1, Allowance Code Value 1. Allowance Code 2, Allowance Code Value 2
 
  This report will be sent to specific users (not yet identified) on a daily basis. This does not need to be tested at the moment.",Plan and manage customer service operations,Manage customer complaints,Manage customer credit,Issue credit
54,,,,,Plant Rep RQM like be select capture nature codes complaint document root cause complaint reporting tracking purposes ,"I will know this is done when various fields are available for nature code classification (Nature Code, Nature Code Sub-Category, Nature Code Sub-Category Details)
 
  Field Dependencies: The user must select a Business Unit before the system allows them to select a Nature Code Category (the business unit value selected determines the picklist for the nature code category values). The user must select a Nature Code Category before the system allows them to select a nature code sub-category. (the nature code category value selected determines the picklist for the nature code sub-category)
 
  Data Fields: Business Unit, Nature Code Category, Nature Code Sub-Category, Nature Code Sub-Category Detail. (see attachment for details)",Plan and manage customer service operations,Manage customer complaints,Technical support,
55,,,,,CSR Sales Rep Plant Rep RQM Transportation Rep like be Capture update status complaint Track progress complaint ,"I will know this is done when complaint specific status values are available on the Case (Complaint) record.
  Data Fields: status: picklist values include ""Entered"", ""Entered and Sent"", ""Response Reviewed"", ""Responded"", ""Approved"", ""Closed"", ""On Hold"".",Plan and manage customer service operations,Manage customer complaints,Track updates,
