,No.,As,I want to ,So that,User Story,Acceptance Criteria,Capability,Sub-Capability,Epic,Unnamed: 9
56,,,,,CSR Sales Rep Plant Rep RQM Transportation Rep like be Create Complaint Response customer investigator plant RQM transportation Document assessment response complaint ,"I will know this is done when complaint responses can be captured for internal and external parties. 
 
  Solution: The following fields need to be created: Case Number, Response Type (Picklist: Customer Statement, Investigator Statement, Plant Answer, Transportation Answer, Customer Service Answer), Description (long text), Response Status (Draft, Published). Once a response is published it is no longer available for editing. System should also track the user who entered the response with an ""Owner"" field. Only 1 customer statement and investigator statement are allowed. Multiple Plant, Transportation and Customer Service Answers are allowed. 
 
  Validation: Response Type, Description, Response Status are required
 
  Security/Permission: The following complaint responses can be created by the following profiles
 
  Customer Statement: All users can create
  
  Investigator Statement: All users can create
  
  Plant Answer: Plant and RQM users can create
  
  CSR Answer: CSR and RQM users can create
  
  Transportation Answer: Transportation and RQM users can create",Plan and manage customer service operations,Manage customer complaints,Manage complaint response,
57,,,,,RQM like be Delete complaint Permission Set do Remove complaint system was created mistake ,"I will know this is done when users with the assigned permission set have the ability to delete Case records. 
  
  
  
  Solution: Permission set will be utilized to provide individual users the ability to delete Case records.",Plan and manage customer service operations,Manage customer complaints,Close complaint,
58,,,,,CSR Sales Rep Plant Rep Transportation Rep like be Create complaint link complaint information complaint system i.e complaint was closed awaiting customer color d04437 contractor color information period time case was created information came ,"I will know this is done when I have the ability to create a related case from a Complaint Case record. 
 
  Solution: 
  
  A lightning button has been added to the layout that will create a related ""Complaint"" case upon selection (same fields and information as the parent/primary case). The following fields will be autopopulated:
  
  1. Account Name = Same as parent case
  
  2. Contact Name = Same as parent case
  
  3. Case Record Type = Complaint
  
  4. Status = Entered
 
  Security: All users will be able to create a supplemental complaint case at any point in the case process/workflow (no limitations around creation)",Plan and manage customer service operations,Manage customer complaints,Create complaint,
59,,,,,Customer CSR Sales Rep Plant Rep RQM Transportation Rep like be Search view Knowledge articles based title content Find information help resolve complaints ,"Business Rule:Validation Rule:Data Fields:Automation:Security/Permission:
  
  
  
  Solution: 
  
  Ensure the knowledge Component is added to the Case Lightning Record page to facilitate resolution. 
  
  Note, this should only be done if a formal governance process is formalized.",Plan and manage customer service operations,Manage customer complaints,Knowledge management,Access knowledge
60,,,,,CSR Sales Rep Plant Rep RQM Transportation Rep like be Create Knowledge Article Quality FAQ Information Training Help others resolve complaints ,Business Rule:Validation Rule:Data Fields:Automation:Security/Permission:,Plan and manage customer service operations,Manage customer complaints,Knowledge management,Create knowledge
61,,,,,CSR Sales Rep Plant Rep RQM Transportation Rep like be Print complaint information details system See data need print ,"A button should be available from the Case layout that produces a PDF of Case details that can be printed. The following information should be available:
  
  COMPLAINT DETAILS
  Case Number
  Case Owner
  Account Name
  Contact Name
  Sales Representative
  Created By
  Status 
  Case Origin
  On Hold Reason
  
  STATUS TRANSITION 
  Entered (Date and User)
  Entered and Sent (Date and User)
  Response Reviewed (Date and User)
  Responded (Date and User)
  Approved (Date and User)
  Closed (Date and User)
  
  INVOICE DETAILS
  Invoice #
  Shipping Plant
  RQM
  Carrier
  Ship To Number
  Ship To Name
  Ship To Address
  Bill To Number
  Bill To Name
  Bill To Address
  
  AFFECTED PRODUCTS (display following fields for each affected product)
  Item #
  Product Description
  Unit Price
  Quantity Ordered
  UOM
  Mfg Code
  Quantity Affected
  Good Material
  Bad Material
  Refurbishable Material
  
  COMPLAINT VALUE
  Material Cost 
  Labor Cost
  Other Cost 
  Inbound Freight Amount
  Complaint Total
  
  NATURE CODES
  Product Group
  Product Code
  Business Unit
  Nature Code Category
  Nature Code Sub-Category
  Nature Code Sub-Category Detail
  
  ALLOWANCE CODES
  Allowance Code 1
  Allowance Code 1 Amount
  (more if applicable)
  Allowance Code Sum
  
  JOB SITE DETAILS
  Job Name
  Job Site Street Address
  Job Site State/Prov
  Job Site City
  Job Site Postal Code
  Contractor
  
  SAMPLE INFORMATION
  Sample Sent Date
  Sample Received Date
  Sent To
  Attention Of
  
  RETURN MATERIAL INFORMATION
  Carrier
  Date Received
  Shipping Paid By
  Restocking Fee
  
  CREDIT INFORMATION
  Credit Issued
  Claim Number
  Credit Date
  Entered By
  Customer Credit Amount
  Accounting Comments
  
  
  COMPLAINT RESPONSES (show fields for each complaint response)
  Response Type
  Description
  Created By
  
  APPROVAL INFORMATION
  Approved By
  Approved Date
  Approval Comments",Plan and manage customer service operations,Manage customer complaints,Complaint print & export,Print complaint
62,,,,,CSR Sales Rep Plant Rep RQM Transportation Rep like be log activities associated complaint track milestones activities update status contact customer ,"I Will know this is done when I can Log a Call, Send an Email, Log a Task and Log an Event on a Case record
 
  Business Rule: User can log calls with the customer, visits to customer warehouse/site, ...
 
  Security/Permission: CSR, Sales Rep, Plant Rep, RQM, or Transportation Rep should be able to View activities related to a complaint",Plan and manage customer service operations,Manage customer complaints,Track updates,
63,,,,,CSR Sales Rep Plant Rep RQM Transportation Rep like system send notification RQM associated complaint value complaint exceeds threshold ,"I will know this is done when the assigned RQM is notified (using chatter) when a complaint is logged that exceeds $3,000. 
  
  Business Rule: Automatic escalation to RQM if credit goes above $3,000
 
  Automation:
 
  Solution: Process Builder: Post a chatter message and tag the RQM identified in the RQM field when the value of the complaint (Complaint Total field referenced in story 41) is greater than or equal to $3,000. The following message should be displayed. 
  
  ""A high value complaint has been created. Please review the details at your convenience and respond accordingly.""",Plan and manage customer service operations,Manage customer complaints,Complaint process control,
64,,,,,CSR Sales Rep Plant Rep RQM Transportation Rep like be Collaborate others system Initiate communication XXX users regarding complaint related information resolve complaint ,"I will know this is done when chatter is available on the page layout/lightning record Case page
  
  Assumption: User email internally from XXX and use chatter messages",Plan and manage customer service operations,Manage customer complaints,Collaboration,
65,,,,,CSR Sales Rep Plant Rep RQM Transportation Rep like be Route complaint user Assign ownership person resolve complaint perform steps ,"I will know this is done when the case can be routed to the appropriate queue or user based on the complaint needs (manual selection by the case owner). 
  
  Solution: 
  
  When a Case is created, the owner will remain as the person who entered the complaint until manually routed. 
 
  Also, we need to populate the ""Sales Representative"" field upon creation, which is the Account Owner tied to the customer account on the case (this value will not change throughout the duration of the Case lifecycle). 
 
  The following plant and transportation queues need to be created: (please see attachments) 
  
  Also, create groups for each of the queues in the attachment and ensure the queue assignment is aligned to the group.",Plan and manage customer service operations,Manage customer complaints,Complaint process control,
67,,,,,CSR Sales Rep Plant Rep RQM Transportation Rep like be Track samples have been sent customer See damage issue hand make assessment complaint resolve ,"I will know this is done when sample details can be entered on a complaint (case) record
 
  Solution
  
  Add the following fields to the Complaint Layout (New Section):
  
  Data Fields: Sample Sent? (Yes/No), Sample Sent Date, Sample Received Date, Sent To (Lookup Plant Object), Attention Of (Text), Sent Via (picklist - Standard Mail, Standard UPS, 2 Day UPS, Overnight, Hand Carried, Other)
 
  Security/Permission: All users will have the ability to enter sample details",Plan and manage customer service operations,Manage customer complaints,Technical support,
68,,,,,CSR Sales Rep Plant Rep RQM like be View product quantity order complaint capture product is attributes complaint ,"I will know this is done when I can log a complaint that references one or many invoice line items, the user can select specific items and quantities that were affected, and the systems calculates a summary of the total complaint cost. 
 
  Solution: 
  
  Create a new object titled: Affected Products
 
  The following fields should be created: Case (Master-Detail), Product Code (Text), Product (Lookup, CC_Product), Invoice Line (Lookup, CC_Invoice_Detail), Quantity Affected (Number), Unit Price (Currency), Sales Amount (Currency), Shipping Quantity (Number)
 
  Add a formula field tiled ""Material Cost"" that multiplies the Quantity Affected*Unit Price (Note, this will be rolled up to the Case header record)
 
  Validation Rule: Quantity Affected cannot be greater than Quantity Ordered. Additionally, if the user confirms a certain quantity of affected product, and then proceeds to click the add products button again, the original affected quantity selected the first time will repopulate for the user to adjust
 
  A new Record Type and Page Layout should be created titled: Affected Product
  
  Create a Lightning Record page 
 
  Note, this object will be reference through a lightning component to add/remove line items.",Plan and manage customer service operations,Manage customer complaints,Sales support,
69,,,,,CSR Sales Rep Plant Rep RQM Transportation rep like be create complaint received channels phone email complaint information document information customer log complaint behalf ,"Business Rules: 
 
  Data Fields: See Attachment (website URL)
 
  Validation Rules: See Attachment above for required fields in red. A new complaint will default to status ""Entered"". The Case Owner field defaults to user entering the complaint. 
 
  Nature code sub-category and description cannot be entered until Nature Code Category field is filled out. 
  
  Automation: System will autopopulate customer contact field if creating a complaint from the contact record. The complaint owner will stay as the creator of the complaint until routed to the plant or necessary party. 
  
  Subject field will concatenate with contact name and case reason fields - only when empty upon save. 
  
  Security/Permission: A CSR, Sales Rep, Plant Rep, RQM, or transportation rep user can create a complaint",Plan and manage customer service operations,Manage customer complaints,Create complaint,
70,,,,,CSR Sales Rep Plant Rep RQM Transportation Rep like be Search customer contact Track customer involved complaint know contact questions updates ,"I will know this is done when the Account Name field is autopopulated when a Contact Name is manually selected by the user (and the Account field is left blank) for a case record. Additionally, if the user does manually enter an Account Name, it will not be overwritten based on the Contact Name selected.
  
  Automation: Once I select the Contact Name (and leave the Account Name field blank), the system should autopopulate the Account Name upon creation of the complaint.
  
  Solution: A process builder that executes when the Case record is saved and the contact field populated while the account field is blank. 
  
  Process builder name: ""Update Account Base on Contact_Complaints ""
  
  Assumption: It applies only for creation of a Case. Any future updates to the Contact's Account change will not be updated on Complaint case.",Measure and evaluate customer satisfaction,Measure customer satisfaction level,Customer feedback,
72,,,,,need be group case frequency volume brand channel Shipment Volume reports ,,Plan and manage customer service operations,Manage customer service requests/inquiries,Manage shipment,Manage shipment by brand
77,,,,,Food service users need be create plant cases Users relate Food Service cases Plant Case Add 'Distribution Channel picklist field Plant Case following values Retai Food Service ,,Plan and manage customer service operations,Manage customer service requests/inquiries,Create & open case ,Manually create case
79,,,,,customer care team like report provides case response time like report response time time is added queue agent response like be segregated sentiment provided SLA matrix consideration ,,Plan and manage customer service operations,Manage customer service workforce,Manage performance,
80,,,,,Service User want Case status update Open Survey is survey related record want Case Status update Progress surveys are completed ,,Plan and manage customer service operations,Manage customer service requests/inquiries,Process control,Change case status
81,,,,,Reporting User want see Plant case created notification mail sent members Plant Case Queue criteria Plant_Case_Creation_Criteria.xlsx are met Page layout Plant Record type Issue Record type Status Same Consumer Case Related list Impacted Cases ,,Plan and manage customer service operations,Manage customer service requests/inquiries,Create & open case ,Systematically create case
82,,,,,someone replies case email case state be changed 'Review Reply ,,Plan and manage customer service operations,Manage customer service requests/inquiries,Process control,Change case status
83,,,,,post persona is associated case case is reopened be limit am days reopening case ,,Plan and manage customer service operations,Manage customer service requests/inquiries,Create & open case ,Reopen case
84,,,,,n Any Supervisor want view report showing Cases are business days prioritize ,,Plan and manage customer service operations,Manage customer service workforce,Manage performance,Notify on idle cases
85,,,,,n Any Supervisor want view report showing Cases are business day prioritize ,,Plan and manage customer service operations,Manage customer service workforce,Manage performance,Notify on idle cases
86,,,,,need case report reports amount cases were responded were considered brand praise were respoonding marketing post paid media ad ,,Plan and manage customer service operations,Manage customer service requests/inquiries,Case analysis,
87,,,,,Create report cases speak praise XXX Brand ,,Plan and manage customer service operations,Manage customer service requests/inquiries,Case analysis,
88,,,,,Reporting User want view Survey cases are related Cases have visibility questions targeted issues ,,Measure and evaluate customer satisfaction,Measure customer satisfaction level,View survey,View survey
89,,,,,Business Admin want schedule reports include captured case refresh are Salesforce sent Distribution List DL group people XXX company has time line sight operations ,,Plan and manage customer service operations,Manage customer service requests/inquiries,Ensure client visibility,Ensure client real-time data visibility
90,,,,,n Any Service User want view cases agent are problem areas ,,Plan and manage customer service operations,Manage customer complaints,View complaint,View complaint by agent
91,,,,,Regulatory group member want be notified cases have Risk selected ,,Plan and manage customer service operations,Manage customer service requests/inquiries,Regulatory control,
92,,,,,Media group member want be notified cases have Risk selected ,,Plan and manage customer service operations,Manage customer service requests/inquiries,Media control,
93,,,,,Security Group member want be notified cases have Risk selected ,,Plan and manage customer service operations,Manage customer service requests/inquiries,Security control,
94,,,,,action investigations pull plant investigation response system link case allow plant access response case ,,Plan and manage customer service operations,Manage customer complaints,Enrich reference data,Attach supplements to complaints
95,,,,,member food safety alert group want be notified are cases UPC code date ,,Plan and manage customer service operations,Manage customer complaints,Quality control,Quality monitoring
96,,,,,agent indicates case pics are requested assign case T3 CAG queue update status reflect are 'Awaiting Response ,,Plan and manage customer service operations,Manage customer service requests/inquiries,Process control,Assign case
97,,,,,receive reply consumer mail update status case 'Review Reply ,,Plan and manage customer service operations,Manage customer service requests/inquiries,Process control,Change case status
98,,,,,case updates information pic findings rep is notified ,,Plan and manage customer service operations,Manage customer service workforce,Manage performance,Supervise personnel performance
99,,,,,Case Overdue notifications known chasing notifications notify case owner mail distribution list reply is received determine frequency timing notification based contact criteria ,,Plan and manage customer service operations,Manage customer service workforce,Manage performance,Notify on idle cases
101,,,,,create queues put cases worker ,,Plan and manage customer service operations,Manage customer service requests/inquiries,Process control,Assign case
102,,,,,Time date stamp tracked displayed cases track updates ,,Plan and manage customer service operations,Manage customer service requests/inquiries,Track update history,Track update time & editor
104,,,,,n Any Service User want origin type case populated based contact channel case orgin be reported accuracy ,,Plan and manage customer service operations,Manage customer service requests/inquiries,Create & open case ,Manage case origin
105,,,,,n want send cases party review notes ,,Plan and manage customer service operations,Manage customer service requests/inquiries,Collaboration,Initiate collaboration
107,,,,,n Manager want report Case count hierarchy levels brand product group SKU have visiblity complaint frequency ,,Plan and manage customer service operations,Manage customer complaints,Quality control,Quality monitoring
108,,,,,n Any Service User want close case indicate case has been resolved ,,Plan and manage customer service operations,Manage customer service requests/inquiries,Close case,Close resolved case
109,,,,,ability consumer affairs representative see case offer customer coupon is mailed coupon option ,,Plan and manage customer service operations,Manage customer service requests/inquiries,Enhance customer satisfaction level,Provide customer benefit
111,,,,,Service Cloud identify case opened persona has been opened email o phone inquiry merge cases did discuss Twitter does require name individuals add pseudo name be match cases ,,Plan and manage customer service operations,Manage customer service requests/inquiries,Create & open case ,Duplication check & merge case
112,,,,,Consumer affairs team like see brand case is associated click case queue ,,Plan and manage customer service operations,Manage customer service requests/inquiries,View case,View case details
113,,,,,consumer affairs team need be notified manner escalated case hits service cloud queue escalated cases be placed queue escalated words attached file are being notified escalated cases email ,,Plan and manage customer service operations,Manage customer service requests/inquiries,Process control,Case escalation
114,,,,,consumer affairs team like ability reply cases device ,,Plan and manage customer service operations,Manage customer service requests/inquiries,Mobility,Enable mobile access
115,,,,,want ensure connection Social Studio Service Cloud is sync Social Customer Service is setup Want be show transparency platforms example display case number Social Studio posts routed Service Cloud ,,Plan and manage customer service operations,Manage customer service requests/inquiries,Collect feedback & request through channels,Collect feedback & request through channels
116,,,,,n Any Service User want capture Plant Number Case record provide Plant Number aligned Est Plant Number is listed package maintain data integrity ,,Plan and manage customer service operations,Manage customer service requests/inquiries,Manage plant,Access plant-related information
117,,,,,n Any Service User want access knowledge base articles related product subject case provide service ,,Plan and manage customer service operations,Manage customer service requests/inquiries,Knowledge management,Access knowledge
118,,,,,n Any Service User want receive pop existing case call is transferred Agent provide continuity Service ,,Plan and manage customer service operations,Manage customer service requests/inquiries,Enhance customer satisfaction level,Provide continuity of service
119,,,,,n Any Service User want have case data product description get pulled letters letter inserts letters are ,,Plan and manage customer service operations,Manage customer service requests/inquiries,Case print & export,Export case
120,,,,,n Any Service User want receive letter suggestions based Case codes case handling is ,,Plan and manage customer service operations,Manage customer service requests/inquiries,Knowledge management,Access knowledge
122,,,,,n Any Service User want view caller history case have communications context ,,Plan and manage customer service operations,Manage customer service requests/inquiries,View case,View case details
125,,,,,n Service Manager want track time Agent is assigned case assigns Case Case status is updated closed Case is transferred queue measure performance Measure minutes format Track duration Activity record ,,Plan and manage customer service operations,Manage customer service workforce,Manage performance,Supervise personnel performance
126,,,,,n Service Manager want track time case created case closed provide assistance ,,Plan and manage customer service operations,Manage customer service workforce,Manage performance,Supervise personnel performance
127,,,,,n Any Service User want capture notes Case date stamp Agent name case history is tracked ,,Plan and manage customer service operations,Manage customer service requests/inquiries,Track update history,Track update time & editor
128,,,,,n Any Service User want search calls cases consumer info case find Consumer records ,,Plan and manage customer service operations,Manage customer service requests/inquiries,Search case,Search case by existing information
129,,,,,n Any Service User want transfer ownership case own rep escalated cases be reported ,,Plan and manage customer service operations,Manage customer service requests/inquiries,Process control,Assign case
130,,,,,n Any Service User want capture issues Case aligned product issues reported ,,Plan and manage customer service operations,Manage customer complaints,Quality control,Quality monitoring
131,,,,,n Any Service User want put case follow status researching issue am cases are pending resolution ,,Plan and manage customer service operations,Manage customer service requests/inquiries,Process control,Change case status
132,,,,,Business Admin want import Cases Salesforce formatted file store reports be worked Agents ,,Plan and manage customer service operations,Manage customer service requests/inquiries,Create & open case ,Manually create case
135,,,,,n Any Service User want view details cases submitted Consumers online cases users be managed resolved form fields map Case Record type Consumer Web Case generated Salesforce assigned Web Queue Agent selects case assigns self handling reviews mapped lookup fields UPC Contact creates relationships Agent handles case ,,Plan and manage customer service operations,Manage customer service requests/inquiries,View case,View case details
136,,,,,n Any Service User want attach pictures case is context case ,,Plan and manage customer service operations,Manage customer service requests/inquiries,Enrich reference data,Attach supplements to cases
137,,,,,n Any Service User want transfer cases queue user assigned queue want pull cases inquiry escalated lab claims cases be handled people Design captured Queues Groups tab Service data dictionary ,,Plan and manage customer service operations,Manage customer service requests/inquiries,Process control,Assign case
138,,,,,Service User want see stages contact email chat text fields fill case based consumer enters contact portion cases be handled ,,Plan and manage customer service operations,Manage customer service requests/inquiries,Create & open case ,Create case with collected feedback & request
139,,,,,n Any Service User want pivot Case Contact records refer caller information interaction ,,Plan and manage customer service operations,Manage customer service requests/inquiries,View related contacts,View related contacts
141,,,,,n Any Service User want Sections case read access vs edit abilities based users security level data is protected ,,Plan and manage customer service operations,Manage customer service requests/inquiries,Security control,Authorization control
142,,,,,n Any Service User want use form case fields code store address information be captured ,,Plan and manage customer service operations,Manage customer service requests/inquiries,Create & open case ,
143,,,,,n Any Service User want see drop search case fields UPC Subject code code detail store records be found ,,Plan and manage customer service operations,Manage customer service requests/inquiries,View case,View case details
144,,,,,n Any Service User want capture fields case capture detail case ,,Plan and manage customer service operations,Manage customer service requests/inquiries,View case,View case details
145,,,,,n Any Service User want relate Case Product XXX report case volume product ,,Plan and manage customer service operations,Manage customer service requests/inquiries,Case analysis,Analyze by product
146,,,,,n Any Service User want attach Call Case history be created case ,,Plan and manage customer service operations,Manage customer service requests/inquiries,Enrich reference data,Attach supplements to cases
147,,,,,n Any Service User want capture Tasks case actions be assigned follow ,,Plan and manage customer service operations,Manage customer service requests/inquiries,Manage case task,Capture task
148,,,,,n Any Service User want capture Comments case detail case be captured ,,Plan and manage customer service operations,Manage customer service requests/inquiries,Collaboration,
149,,,,,n Any Service User want be assigned cases based set criteria cases are routed ,,Plan and manage customer service operations,Manage customer service requests/inquiries,Process control,Assign case
150,,,,,n Any Service User want ensure Cases are validated based criteria maintain data integrity quality ,,Plan and manage customer service operations,Manage customer service requests/inquiries,Validate case,Validate case base on certain criteria
151,,,,,n Any Service User want capture case category case detail case XXX report types cases are being handled ,,Plan and manage customer service operations,Manage customer service requests/inquiries,View case,View case details
152,,,,,n Any Service User want capture issue codes codes case XXX report types cases are being handled ,,Plan and manage customer service operations,Manage customer service requests/inquiries,View case,View case details
153,,,,,n Any Service User want have escalated Escalation have been business day cases have been duration be prioritized ,,Plan and manage customer service operations,Manage customer service requests/inquiries,Process control,Case escalation
154,,,,,n Any Service User want escalate cases cases be prioritized ,,Plan and manage customer service operations,Manage customer service requests/inquiries,Process control,Case escalation
155,,,,,Any User want assign cases queues cases be handled PFA list queues created part story ,,Plan and manage customer service operations,Manage customer service requests/inquiries,Process control,Assign case
16,,,,,Sales Rep like receive notification complaint has been closed cancelled contact customer ,"When the status of the complaint changes to ""Closed Cancelled"", send a chatter notification to the user in the 'Sales Representative' field on the case record. The message will say.
  
  A complaint for one of your accounts has been Closed Cancelled.
  
  Case Number:
  
  Account Name:
  
  Contact Name:
  
  Closed Cancelled Reason:
  
  Case Link:",Measure and evaluate customer satisfaction,Measure customer satisfaction level,Customer feedback,
70,,,,,CSR Sales Rep Plant Rep RQM Transportation Rep like be Search customer contact Track customer involved complaint know contact questions updates ,"I will know this is done when the Account Name field is autopopulated when a Contact Name is manually selected by the user (and the Account field is left blank) for a case record. Additionally, if the user does manually enter an Account Name, it will not be overwritten based on the Contact Name selected.
  
  Automation: Once I select the Contact Name (and leave the Account Name field blank), the system should autopopulate the Account Name upon creation of the complaint.
  
  Solution: A process builder that executes when the Case record is saved and the contact field populated while the account field is blank. 
  
  Process builder name: ""Update Account Base on Contact_Complaints ""
  
  Assumption: It applies only for creation of a Case. Any future updates to the Contact's Account change will not be updated on Complaint case.",Measure and evaluate customer satisfaction,Measure customer satisfaction level,Customer feedback,
88,,,,,Reporting User want view Survey cases are related Cases have visibility questions targeted issues ,,Measure and evaluate customer satisfaction,Measure customer satisfaction level,View survey,View survey
16,,,,,Sales Rep like receive notification complaint has been closed cancelled contact customer ,"When the status of the complaint changes to ""Closed Cancelled"", send a chatter notification to the user in the 'Sales Representative' field on the case record. The message will say.
  
  A complaint for one of your accounts has been Closed Cancelled.
  
  Case Number:
  
  Account Name:
  
  Contact Name:
  
  Closed Cancelled Reason:
  
  Case Link:",Measure and evaluate customer satisfaction,Measure customer satisfaction level,Customer feedback,
70,,,,,CSR Sales Rep Plant Rep RQM Transportation Rep like be Search customer contact Track customer involved complaint know contact questions updates ,"I will know this is done when the Account Name field is autopopulated when a Contact Name is manually selected by the user (and the Account field is left blank) for a case record. Additionally, if the user does manually enter an Account Name, it will not be overwritten based on the Contact Name selected.
  
  Automation: Once I select the Contact Name (and leave the Account Name field blank), the system should autopopulate the Account Name upon creation of the complaint.
  
  Solution: A process builder that executes when the Case record is saved and the contact field populated while the account field is blank. 
  
  Process builder name: ""Update Account Base on Contact_Complaints ""
  
  Assumption: It applies only for creation of a Case. Any future updates to the Contact's Account change will not be updated on Complaint case.",Measure and evaluate customer satisfaction,Measure customer satisfaction level,Customer feedback,
88,,,,,Reporting User want view Survey cases are related Cases have visibility questions targeted issues ,,Measure and evaluate customer satisfaction,Measure customer satisfaction level,View survey,View survey
