,No.,As,I want to ,So that,User Story,Acceptance Criteria,Capability,Sub-Capability,Epic,Unnamed: 9
16,,,,,Sales Rep like receive notification complaint has been closed cancelled contact customer ,"When the status of the complaint changes to ""Closed Cancelled"", send a chatter notification to the user in the 'Sales Representative' field on the case record. The message will say.
  
  A complaint for one of your accounts has been Closed Cancelled.
  
  Case Number:
  
  Account Name:
  
  Contact Name:
  
  Closed Cancelled Reason:
  
  Case Link:",Measure and evaluate customer satisfaction,Measure customer satisfaction level,Customer feedback,
70,,,,,CSR Sales Rep Plant Rep RQM Transportation Rep like be Search customer contact Track customer involved complaint know contact questions updates ,"I will know this is done when the Account Name field is autopopulated when a Contact Name is manually selected by the user (and the Account field is left blank) for a case record. Additionally, if the user does manually enter an Account Name, it will not be overwritten based on the Contact Name selected.
  
  Automation: Once I select the Contact Name (and leave the Account Name field blank), the system should autopopulate the Account Name upon creation of the complaint.
  
  Solution: A process builder that executes when the Case record is saved and the contact field populated while the account field is blank. 
  
  Process builder name: ""Update Account Base on Contact_Complaints ""
  
  Assumption: It applies only for creation of a Case. Any future updates to the Contact's Account change will not be updated on Complaint case.",Measure and evaluate customer satisfaction,Measure customer satisfaction level,Customer feedback,
88,,,,,Reporting User want view Survey cases are related Cases have visibility questions targeted issues ,,Measure and evaluate customer satisfaction,Measure customer satisfaction level,View survey,View survey
16,,,,,Sales Rep like receive notification complaint has been closed cancelled contact customer ,"When the status of the complaint changes to ""Closed Cancelled"", send a chatter notification to the user in the 'Sales Representative' field on the case record. The message will say.
  
  A complaint for one of your accounts has been Closed Cancelled.
  
  Case Number:
  
  Account Name:
  
  Contact Name:
  
  Closed Cancelled Reason:
  
  Case Link:",Measure and evaluate customer satisfaction,Measure customer satisfaction level,Customer feedback,
70,,,,,CSR Sales Rep Plant Rep RQM Transportation Rep like be Search customer contact Track customer involved complaint know contact questions updates ,"I will know this is done when the Account Name field is autopopulated when a Contact Name is manually selected by the user (and the Account field is left blank) for a case record. Additionally, if the user does manually enter an Account Name, it will not be overwritten based on the Contact Name selected.
  
  Automation: Once I select the Contact Name (and leave the Account Name field blank), the system should autopopulate the Account Name upon creation of the complaint.
  
  Solution: A process builder that executes when the Case record is saved and the contact field populated while the account field is blank. 
  
  Process builder name: ""Update Account Base on Contact_Complaints ""
  
  Assumption: It applies only for creation of a Case. Any future updates to the Contact's Account change will not be updated on Complaint case.",Measure and evaluate customer satisfaction,Measure customer satisfaction level,Customer feedback,
88,,,,,Reporting User want view Survey cases are related Cases have visibility questions targeted issues ,,Measure and evaluate customer satisfaction,Measure customer satisfaction level,View survey,View survey
16,,,,,Sales Rep like receive notification complaint has been closed cancelled contact customer ,"When the status of the complaint changes to ""Closed Cancelled"", send a chatter notification to the user in the 'Sales Representative' field on the case record. The message will say.
  
  A complaint for one of your accounts has been Closed Cancelled.
  
  Case Number:
  
  Account Name:
  
  Contact Name:
  
  Closed Cancelled Reason:
  
  Case Link:",Measure and evaluate customer satisfaction,Measure customer satisfaction level,Customer feedback,
70,,,,,CSR Sales Rep Plant Rep RQM Transportation Rep like be Search customer contact Track customer involved complaint know contact questions updates ,"I will know this is done when the Account Name field is autopopulated when a Contact Name is manually selected by the user (and the Account field is left blank) for a case record. Additionally, if the user does manually enter an Account Name, it will not be overwritten based on the Contact Name selected.
  
  Automation: Once I select the Contact Name (and leave the Account Name field blank), the system should autopopulate the Account Name upon creation of the complaint.
  
  Solution: A process builder that executes when the Case record is saved and the contact field populated while the account field is blank. 
  
  Process builder name: ""Update Account Base on Contact_Complaints ""
  
  Assumption: It applies only for creation of a Case. Any future updates to the Contact's Account change will not be updated on Complaint case.",Measure and evaluate customer satisfaction,Measure customer satisfaction level,Customer feedback,
88,,,,,Reporting User want view Survey cases are related Cases have visibility questions targeted issues ,,Measure and evaluate customer satisfaction,Measure customer satisfaction level,View survey,View survey
16,,,,,Sales Rep like receive notification complaint has been closed cancelled contact customer ,"When the status of the complaint changes to ""Closed Cancelled"", send a chatter notification to the user in the 'Sales Representative' field on the case record. The message will say.
  
  A complaint for one of your accounts has been Closed Cancelled.
  
  Case Number:
  
  Account Name:
  
  Contact Name:
  
  Closed Cancelled Reason:
  
  Case Link:",Measure and evaluate customer satisfaction,Measure customer satisfaction level,Customer feedback,
70,,,,,CSR Sales Rep Plant Rep RQM Transportation Rep like be Search customer contact Track customer involved complaint know contact questions updates ,"I will know this is done when the Account Name field is autopopulated when a Contact Name is manually selected by the user (and the Account field is left blank) for a case record. Additionally, if the user does manually enter an Account Name, it will not be overwritten based on the Contact Name selected.
  
  Automation: Once I select the Contact Name (and leave the Account Name field blank), the system should autopopulate the Account Name upon creation of the complaint.
  
  Solution: A process builder that executes when the Case record is saved and the contact field populated while the account field is blank. 
  
  Process builder name: ""Update Account Base on Contact_Complaints ""
  
  Assumption: It applies only for creation of a Case. Any future updates to the Contact's Account change will not be updated on Complaint case.",Measure and evaluate customer satisfaction,Measure customer satisfaction level,Customer feedback,
88,,,,,Reporting User want view Survey cases are related Cases have visibility questions targeted issues ,,Measure and evaluate customer satisfaction,Measure customer satisfaction level,View survey,View survey
16,,,,,Sales Rep like receive notification complaint has been closed cancelled contact customer ,"When the status of the complaint changes to ""Closed Cancelled"", send a chatter notification to the user in the 'Sales Representative' field on the case record. The message will say.
  
  A complaint for one of your accounts has been Closed Cancelled.
  
  Case Number:
  
  Account Name:
  
  Contact Name:
  
  Closed Cancelled Reason:
  
  Case Link:",Measure and evaluate customer satisfaction,Measure customer satisfaction level,Customer feedback,
70,,,,,CSR Sales Rep Plant Rep RQM Transportation Rep like be Search customer contact Track customer involved complaint know contact questions updates ,"I will know this is done when the Account Name field is autopopulated when a Contact Name is manually selected by the user (and the Account field is left blank) for a case record. Additionally, if the user does manually enter an Account Name, it will not be overwritten based on the Contact Name selected.
  
  Automation: Once I select the Contact Name (and leave the Account Name field blank), the system should autopopulate the Account Name upon creation of the complaint.
  
  Solution: A process builder that executes when the Case record is saved and the contact field populated while the account field is blank. 
  
  Process builder name: ""Update Account Base on Contact_Complaints ""
  
  Assumption: It applies only for creation of a Case. Any future updates to the Contact's Account change will not be updated on Complaint case.",Measure and evaluate customer satisfaction,Measure customer satisfaction level,Customer feedback,
88,,,,,Reporting User want view Survey cases are related Cases have visibility questions targeted issues ,,Measure and evaluate customer satisfaction,Measure customer satisfaction level,View survey,View survey
16,,,,,Sales Rep like receive notification complaint has been closed cancelled contact customer ,"When the status of the complaint changes to ""Closed Cancelled"", send a chatter notification to the user in the 'Sales Representative' field on the case record. The message will say.
  
  A complaint for one of your accounts has been Closed Cancelled.
  
  Case Number:
  
  Account Name:
  
  Contact Name:
  
  Closed Cancelled Reason:
  
  Case Link:",Measure and evaluate customer satisfaction,Measure customer satisfaction level,Customer feedback,
70,,,,,CSR Sales Rep Plant Rep RQM Transportation Rep like be Search customer contact Track customer involved complaint know contact questions updates ,"I will know this is done when the Account Name field is autopopulated when a Contact Name is manually selected by the user (and the Account field is left blank) for a case record. Additionally, if the user does manually enter an Account Name, it will not be overwritten based on the Contact Name selected.
  
  Automation: Once I select the Contact Name (and leave the Account Name field blank), the system should autopopulate the Account Name upon creation of the complaint.
  
  Solution: A process builder that executes when the Case record is saved and the contact field populated while the account field is blank. 
  
  Process builder name: ""Update Account Base on Contact_Complaints ""
  
  Assumption: It applies only for creation of a Case. Any future updates to the Contact's Account change will not be updated on Complaint case.",Measure and evaluate customer satisfaction,Measure customer satisfaction level,Customer feedback,
88,,,,,Reporting User want view Survey cases are related Cases have visibility questions targeted issues ,,Measure and evaluate customer satisfaction,Measure customer satisfaction level,View survey,View survey
16,,,,,Sales Rep like receive notification complaint has been closed cancelled contact customer ,"When the status of the complaint changes to ""Closed Cancelled"", send a chatter notification to the user in the 'Sales Representative' field on the case record. The message will say.
  
  A complaint for one of your accounts has been Closed Cancelled.
  
  Case Number:
  
  Account Name:
  
  Contact Name:
  
  Closed Cancelled Reason:
  
  Case Link:",Measure and evaluate customer satisfaction,Measure customer satisfaction level,Customer feedback,
70,,,,,CSR Sales Rep Plant Rep RQM Transportation Rep like be Search customer contact Track customer involved complaint know contact questions updates ,"I will know this is done when the Account Name field is autopopulated when a Contact Name is manually selected by the user (and the Account field is left blank) for a case record. Additionally, if the user does manually enter an Account Name, it will not be overwritten based on the Contact Name selected.
  
  Automation: Once I select the Contact Name (and leave the Account Name field blank), the system should autopopulate the Account Name upon creation of the complaint.
  
  Solution: A process builder that executes when the Case record is saved and the contact field populated while the account field is blank. 
  
  Process builder name: ""Update Account Base on Contact_Complaints ""
  
  Assumption: It applies only for creation of a Case. Any future updates to the Contact's Account change will not be updated on Complaint case.",Measure and evaluate customer satisfaction,Measure customer satisfaction level,Customer feedback,
88,,,,,Reporting User want view Survey cases are related Cases have visibility questions targeted issues ,,Measure and evaluate customer satisfaction,Measure customer satisfaction level,View survey,View survey
16,,,,,Sales Rep like receive notification complaint has been closed cancelled contact customer ,"When the status of the complaint changes to ""Closed Cancelled"", send a chatter notification to the user in the 'Sales Representative' field on the case record. The message will say.
  
  A complaint for one of your accounts has been Closed Cancelled.
  
  Case Number:
  
  Account Name:
  
  Contact Name:
  
  Closed Cancelled Reason:
  
  Case Link:",Measure and evaluate customer satisfaction,Measure customer satisfaction level,Customer feedback,
70,,,,,CSR Sales Rep Plant Rep RQM Transportation Rep like be Search customer contact Track customer involved complaint know contact questions updates ,"I will know this is done when the Account Name field is autopopulated when a Contact Name is manually selected by the user (and the Account field is left blank) for a case record. Additionally, if the user does manually enter an Account Name, it will not be overwritten based on the Contact Name selected.
  
  Automation: Once I select the Contact Name (and leave the Account Name field blank), the system should autopopulate the Account Name upon creation of the complaint.
  
  Solution: A process builder that executes when the Case record is saved and the contact field populated while the account field is blank. 
  
  Process builder name: ""Update Account Base on Contact_Complaints ""
  
  Assumption: It applies only for creation of a Case. Any future updates to the Contact's Account change will not be updated on Complaint case.",Measure and evaluate customer satisfaction,Measure customer satisfaction level,Customer feedback,
88,,,,,Reporting User want view Survey cases are related Cases have visibility questions targeted issues ,,Measure and evaluate customer satisfaction,Measure customer satisfaction level,View survey,View survey
16,,,,,Sales Rep like receive notification complaint has been closed cancelled contact customer ,"When the status of the complaint changes to ""Closed Cancelled"", send a chatter notification to the user in the 'Sales Representative' field on the case record. The message will say.
  
  A complaint for one of your accounts has been Closed Cancelled.
  
  Case Number:
  
  Account Name:
  
  Contact Name:
  
  Closed Cancelled Reason:
  
  Case Link:",Measure and evaluate customer satisfaction,Measure customer satisfaction level,Customer feedback,
70,,,,,CSR Sales Rep Plant Rep RQM Transportation Rep like be Search customer contact Track customer involved complaint know contact questions updates ,"I will know this is done when the Account Name field is autopopulated when a Contact Name is manually selected by the user (and the Account field is left blank) for a case record. Additionally, if the user does manually enter an Account Name, it will not be overwritten based on the Contact Name selected.
  
  Automation: Once I select the Contact Name (and leave the Account Name field blank), the system should autopopulate the Account Name upon creation of the complaint.
  
  Solution: A process builder that executes when the Case record is saved and the contact field populated while the account field is blank. 
  
  Process builder name: ""Update Account Base on Contact_Complaints ""
  
  Assumption: It applies only for creation of a Case. Any future updates to the Contact's Account change will not be updated on Complaint case.",Measure and evaluate customer satisfaction,Measure customer satisfaction level,Customer feedback,
88,,,,,Reporting User want view Survey cases are related Cases have visibility questions targeted issues ,,Measure and evaluate customer satisfaction,Measure customer satisfaction level,View survey,View survey
16,,,,,Sales Rep like receive notification complaint has been closed cancelled contact customer ,"When the status of the complaint changes to ""Closed Cancelled"", send a chatter notification to the user in the 'Sales Representative' field on the case record. The message will say.
  
  A complaint for one of your accounts has been Closed Cancelled.
  
  Case Number:
  
  Account Name:
  
  Contact Name:
  
  Closed Cancelled Reason:
  
  Case Link:",Measure and evaluate customer satisfaction,Measure customer satisfaction level,Customer feedback,
70,,,,,CSR Sales Rep Plant Rep RQM Transportation Rep like be Search customer contact Track customer involved complaint know contact questions updates ,"I will know this is done when the Account Name field is autopopulated when a Contact Name is manually selected by the user (and the Account field is left blank) for a case record. Additionally, if the user does manually enter an Account Name, it will not be overwritten based on the Contact Name selected.
  
  Automation: Once I select the Contact Name (and leave the Account Name field blank), the system should autopopulate the Account Name upon creation of the complaint.
  
  Solution: A process builder that executes when the Case record is saved and the contact field populated while the account field is blank. 
  
  Process builder name: ""Update Account Base on Contact_Complaints ""
  
  Assumption: It applies only for creation of a Case. Any future updates to the Contact's Account change will not be updated on Complaint case.",Measure and evaluate customer satisfaction,Measure customer satisfaction level,Customer feedback,
88,,,,,Reporting User want view Survey cases are related Cases have visibility questions targeted issues ,,Measure and evaluate customer satisfaction,Measure customer satisfaction level,View survey,View survey
16,,,,,Sales Rep like receive notification complaint has been closed cancelled contact customer ,"When the status of the complaint changes to ""Closed Cancelled"", send a chatter notification to the user in the 'Sales Representative' field on the case record. The message will say.
  
  A complaint for one of your accounts has been Closed Cancelled.
  
  Case Number:
  
  Account Name:
  
  Contact Name:
  
  Closed Cancelled Reason:
  
  Case Link:",Measure and evaluate customer satisfaction,Measure customer satisfaction level,Customer feedback,
70,,,,,CSR Sales Rep Plant Rep RQM Transportation Rep like be Search customer contact Track customer involved complaint know contact questions updates ,"I will know this is done when the Account Name field is autopopulated when a Contact Name is manually selected by the user (and the Account field is left blank) for a case record. Additionally, if the user does manually enter an Account Name, it will not be overwritten based on the Contact Name selected.
  
  Automation: Once I select the Contact Name (and leave the Account Name field blank), the system should autopopulate the Account Name upon creation of the complaint.
  
  Solution: A process builder that executes when the Case record is saved and the contact field populated while the account field is blank. 
  
  Process builder name: ""Update Account Base on Contact_Complaints ""
  
  Assumption: It applies only for creation of a Case. Any future updates to the Contact's Account change will not be updated on Complaint case.",Measure and evaluate customer satisfaction,Measure customer satisfaction level,Customer feedback,
88,,,,,Reporting User want view Survey cases are related Cases have visibility questions targeted issues ,,Measure and evaluate customer satisfaction,Measure customer satisfaction level,View survey,View survey
16,,,,,Sales Rep like receive notification complaint has been closed cancelled contact customer ,"When the status of the complaint changes to ""Closed Cancelled"", send a chatter notification to the user in the 'Sales Representative' field on the case record. The message will say.
  
  A complaint for one of your accounts has been Closed Cancelled.
  
  Case Number:
  
  Account Name:
  
  Contact Name:
  
  Closed Cancelled Reason:
  
  Case Link:",Measure and evaluate customer satisfaction,Measure customer satisfaction level,Customer feedback,
70,,,,,CSR Sales Rep Plant Rep RQM Transportation Rep like be Search customer contact Track customer involved complaint know contact questions updates ,"I will know this is done when the Account Name field is autopopulated when a Contact Name is manually selected by the user (and the Account field is left blank) for a case record. Additionally, if the user does manually enter an Account Name, it will not be overwritten based on the Contact Name selected.
  
  Automation: Once I select the Contact Name (and leave the Account Name field blank), the system should autopopulate the Account Name upon creation of the complaint.
  
  Solution: A process builder that executes when the Case record is saved and the contact field populated while the account field is blank. 
  
  Process builder name: ""Update Account Base on Contact_Complaints ""
  
  Assumption: It applies only for creation of a Case. Any future updates to the Contact's Account change will not be updated on Complaint case.",Measure and evaluate customer satisfaction,Measure customer satisfaction level,Customer feedback,
88,,,,,Reporting User want view Survey cases are related Cases have visibility questions targeted issues ,,Measure and evaluate customer satisfaction,Measure customer satisfaction level,View survey,View survey
16,,,,,Sales Rep like receive notification complaint has been closed cancelled contact customer ,"When the status of the complaint changes to ""Closed Cancelled"", send a chatter notification to the user in the 'Sales Representative' field on the case record. The message will say.
  
  A complaint for one of your accounts has been Closed Cancelled.
  
  Case Number:
  
  Account Name:
  
  Contact Name:
  
  Closed Cancelled Reason:
  
  Case Link:",Measure and evaluate customer satisfaction,Measure customer satisfaction level,Customer feedback,
70,,,,,CSR Sales Rep Plant Rep RQM Transportation Rep like be Search customer contact Track customer involved complaint know contact questions updates ,"I will know this is done when the Account Name field is autopopulated when a Contact Name is manually selected by the user (and the Account field is left blank) for a case record. Additionally, if the user does manually enter an Account Name, it will not be overwritten based on the Contact Name selected.
  
  Automation: Once I select the Contact Name (and leave the Account Name field blank), the system should autopopulate the Account Name upon creation of the complaint.
  
  Solution: A process builder that executes when the Case record is saved and the contact field populated while the account field is blank. 
  
  Process builder name: ""Update Account Base on Contact_Complaints ""
  
  Assumption: It applies only for creation of a Case. Any future updates to the Contact's Account change will not be updated on Complaint case.",Measure and evaluate customer satisfaction,Measure customer satisfaction level,Customer feedback,
88,,,,,Reporting User want view Survey cases are related Cases have visibility questions targeted issues ,,Measure and evaluate customer satisfaction,Measure customer satisfaction level,View survey,View survey
16,,,,,Sales Rep like receive notification complaint has been closed cancelled contact customer ,"When the status of the complaint changes to ""Closed Cancelled"", send a chatter notification to the user in the 'Sales Representative' field on the case record. The message will say.
  
  A complaint for one of your accounts has been Closed Cancelled.
  
  Case Number:
  
  Account Name:
  
  Contact Name:
  
  Closed Cancelled Reason:
  
  Case Link:",Measure and evaluate customer satisfaction,Measure customer satisfaction level,Customer feedback,
70,,,,,CSR Sales Rep Plant Rep RQM Transportation Rep like be Search customer contact Track customer involved complaint know contact questions updates ,"I will know this is done when the Account Name field is autopopulated when a Contact Name is manually selected by the user (and the Account field is left blank) for a case record. Additionally, if the user does manually enter an Account Name, it will not be overwritten based on the Contact Name selected.
  
  Automation: Once I select the Contact Name (and leave the Account Name field blank), the system should autopopulate the Account Name upon creation of the complaint.
  
  Solution: A process builder that executes when the Case record is saved and the contact field populated while the account field is blank. 
  
  Process builder name: ""Update Account Base on Contact_Complaints ""
  
  Assumption: It applies only for creation of a Case. Any future updates to the Contact's Account change will not be updated on Complaint case.",Measure and evaluate customer satisfaction,Measure customer satisfaction level,Customer feedback,
88,,,,,Reporting User want view Survey cases are related Cases have visibility questions targeted issues ,,Measure and evaluate customer satisfaction,Measure customer satisfaction level,View survey,View survey
16,,,,,Sales Rep like receive notification complaint has been closed cancelled contact customer ,"When the status of the complaint changes to ""Closed Cancelled"", send a chatter notification to the user in the 'Sales Representative' field on the case record. The message will say.
  
  A complaint for one of your accounts has been Closed Cancelled.
  
  Case Number:
  
  Account Name:
  
  Contact Name:
  
  Closed Cancelled Reason:
  
  Case Link:",Measure and evaluate customer satisfaction,Measure customer satisfaction level,Customer feedback,
70,,,,,CSR Sales Rep Plant Rep RQM Transportation Rep like be Search customer contact Track customer involved complaint know contact questions updates ,"I will know this is done when the Account Name field is autopopulated when a Contact Name is manually selected by the user (and the Account field is left blank) for a case record. Additionally, if the user does manually enter an Account Name, it will not be overwritten based on the Contact Name selected.
  
  Automation: Once I select the Contact Name (and leave the Account Name field blank), the system should autopopulate the Account Name upon creation of the complaint.
  
  Solution: A process builder that executes when the Case record is saved and the contact field populated while the account field is blank. 
  
  Process builder name: ""Update Account Base on Contact_Complaints ""
  
  Assumption: It applies only for creation of a Case. Any future updates to the Contact's Account change will not be updated on Complaint case.",Measure and evaluate customer satisfaction,Measure customer satisfaction level,Customer feedback,
88,,,,,Reporting User want view Survey cases are related Cases have visibility questions targeted issues ,,Measure and evaluate customer satisfaction,Measure customer satisfaction level,View survey,View survey
16,,,,,Sales Rep like receive notification complaint has been closed cancelled contact customer ,"When the status of the complaint changes to ""Closed Cancelled"", send a chatter notification to the user in the 'Sales Representative' field on the case record. The message will say.
  
  A complaint for one of your accounts has been Closed Cancelled.
  
  Case Number:
  
  Account Name:
  
  Contact Name:
  
  Closed Cancelled Reason:
  
  Case Link:",Measure and evaluate customer satisfaction,Measure customer satisfaction level,Customer feedback,
70,,,,,CSR Sales Rep Plant Rep RQM Transportation Rep like be Search customer contact Track customer involved complaint know contact questions updates ,"I will know this is done when the Account Name field is autopopulated when a Contact Name is manually selected by the user (and the Account field is left blank) for a case record. Additionally, if the user does manually enter an Account Name, it will not be overwritten based on the Contact Name selected.
  
  Automation: Once I select the Contact Name (and leave the Account Name field blank), the system should autopopulate the Account Name upon creation of the complaint.
  
  Solution: A process builder that executes when the Case record is saved and the contact field populated while the account field is blank. 
  
  Process builder name: ""Update Account Base on Contact_Complaints ""
  
  Assumption: It applies only for creation of a Case. Any future updates to the Contact's Account change will not be updated on Complaint case.",Measure and evaluate customer satisfaction,Measure customer satisfaction level,Customer feedback,
88,,,,,Reporting User want view Survey cases are related Cases have visibility questions targeted issues ,,Measure and evaluate customer satisfaction,Measure customer satisfaction level,View survey,View survey
16,,,,,Sales Rep like receive notification complaint has been closed cancelled contact customer ,"When the status of the complaint changes to ""Closed Cancelled"", send a chatter notification to the user in the 'Sales Representative' field on the case record. The message will say.
  
  A complaint for one of your accounts has been Closed Cancelled.
  
  Case Number:
  
  Account Name:
  
  Contact Name:
  
  Closed Cancelled Reason:
  
  Case Link:",Measure and evaluate customer satisfaction,Measure customer satisfaction level,Customer feedback,
70,,,,,CSR Sales Rep Plant Rep RQM Transportation Rep like be Search customer contact Track customer involved complaint know contact questions updates ,"I will know this is done when the Account Name field is autopopulated when a Contact Name is manually selected by the user (and the Account field is left blank) for a case record. Additionally, if the user does manually enter an Account Name, it will not be overwritten based on the Contact Name selected.
  
  Automation: Once I select the Contact Name (and leave the Account Name field blank), the system should autopopulate the Account Name upon creation of the complaint.
  
  Solution: A process builder that executes when the Case record is saved and the contact field populated while the account field is blank. 
  
  Process builder name: ""Update Account Base on Contact_Complaints ""
  
  Assumption: It applies only for creation of a Case. Any future updates to the Contact's Account change will not be updated on Complaint case.",Measure and evaluate customer satisfaction,Measure customer satisfaction level,Customer feedback,
88,,,,,Reporting User want view Survey cases are related Cases have visibility questions targeted issues ,,Measure and evaluate customer satisfaction,Measure customer satisfaction level,View survey,View survey
16,,,,,Sales Rep like receive notification complaint has been closed cancelled contact customer ,"When the status of the complaint changes to ""Closed Cancelled"", send a chatter notification to the user in the 'Sales Representative' field on the case record. The message will say.
  
  A complaint for one of your accounts has been Closed Cancelled.
  
  Case Number:
  
  Account Name:
  
  Contact Name:
  
  Closed Cancelled Reason:
  
  Case Link:",Measure and evaluate customer satisfaction,Measure customer satisfaction level,Customer feedback,
70,,,,,CSR Sales Rep Plant Rep RQM Transportation Rep like be Search customer contact Track customer involved complaint know contact questions updates ,"I will know this is done when the Account Name field is autopopulated when a Contact Name is manually selected by the user (and the Account field is left blank) for a case record. Additionally, if the user does manually enter an Account Name, it will not be overwritten based on the Contact Name selected.
  
  Automation: Once I select the Contact Name (and leave the Account Name field blank), the system should autopopulate the Account Name upon creation of the complaint.
  
  Solution: A process builder that executes when the Case record is saved and the contact field populated while the account field is blank. 
  
  Process builder name: ""Update Account Base on Contact_Complaints ""
  
  Assumption: It applies only for creation of a Case. Any future updates to the Contact's Account change will not be updated on Complaint case.",Measure and evaluate customer satisfaction,Measure customer satisfaction level,Customer feedback,
88,,,,,Reporting User want view Survey cases are related Cases have visibility questions targeted issues ,,Measure and evaluate customer satisfaction,Measure customer satisfaction level,View survey,View survey
